"נתונים היסטוריים - ת""א - 25",,,,,,
מתאריך 01/01/2006 עד תאריך 25/07/2016, תדירות נתונים: יומי,,,,,
,,,,,,
תאריך,מדד בסיס,מדד פתיחה,מדד נעילה,מדד גבוה,מדד נמוך,"שווי שוק כולל(אלפי ש""ח) * "
01/02/2016,1475.85,1471.89,1470.56,1475.27,1463.66,687042461
31/01/2016,1452.17,1475.65,1475.85,1477.6,1469.96,691912960
28/01/2016,1447.85,1451.12,1452.17,1462.68,1449.07,675059084
27/01/2016,1455.8,1455.56,1447.85,1459.74,1447.3,691437255
26/01/2016,1452.93,1434.24,1455.8,1457.15,1432.36,693900725
25/01/2016,1463.94,1462.88,1452.93,1466.2,1449.61,693070552
24/01/2016,1439.99,1467.55,1463.94,1468.51,1462.7,696601048
21/01/2016,1433.58,1427.45,1439.99,1447.36,1427.45,682847007
20/01/2016,1464.16,1442.82,1433.58,1443.02,1432.06,675762310
19/01/2016,1456.3,1471.63,1464.16,1476.57,1458.47,690663005
18/01/2016,1448.75,1448.37,1456.3,1456.73,1440.98,683768593
17/01/2016,1454.4,1453.16,1448.75,1463.12,1443.65,680480281
14/01/2016,1497.78,1478.9,1454.4,1478.9,1445.5,679937374
13/01/2016,1502.6,1507.66,1497.78,1510.97,1496.79,701581823
12/01/2016,1492.8,1492.64,1502.6,1507.9,1491.65,700464658
11/01/2016,1487.15,1482.59,1492.8,1504.55,1480.56,692645285
10/01/2016,1493.97,1476.73,1487.15,1488.43,1475.4,694257936
07/01/2016,1523.41,1502.91,1493.97,1502.91,1488.56,701177236
06/01/2016,1531.42,1528.46,1523.41,1531.12,1513.39,715867902
05/01/2016,1524.1,1529.8,1531.42,1535.96,1524.85,714827823
04/01/2016,1540.9,1522.13,1524.1,1524.1,1515.41,711900536
03/01/2016,1528.74,1527.48,1540.9,1542.54,1526.22,717722605
31/12/2015,1527.96,1527.95,1528.74,1534.43,1525.76,711813952
30/12/2015,1534.59,1532.26,1527.96,1534.55,1526.47,716485827
29/12/2015,1524.67,1532.47,1534.59,1535.73,1530.9,717176468
28/12/2015,1533.85,1533.09,1524.67,1533.16,1523.2,710573918
27/12/2015,1517.44,1520.31,1533.85,1536.1,1518.59,717406673
